comment_id,reply_text,intent,offensiveness,confidence,method
35549,她也被夺舍了吗[无语],1,0,0.95,Batch_Inference_DPLD
28952,?。?，，，,1,0,0.95,Batch_Inference_DPLD
39335,西安的嘛[doge],1,0,0.95,Batch_Inference_DPLD
7557,說這句的人最後只剩腦袋[doge],1,0,0.95,Batch_Inference_DPLD
24152,cw想[思考]我也是么[doge]这,1,0,0.95,Batch_Inference_DPLD
30173,"回复 @屹者 :噢还有一件事 我忘了说
我家庭不好 我爸在我幼年时期就已经出轨加二婚了
我妈也已经因为身体不好离开了
你觉得谁给我兜底[抠鼻]？",1,0,0.95,Batch_Inference_DPLD
15084,玩的时候会觉得游戏一点点再进步，退坑了才发现它一直在原地踏步[微笑]这种游戏也是没谁了,1,0,0.95,Batch_Inference_DPLD
1384,回复 @xcdahai :[doge]以后可以考虑,1,0,0.95,Batch_Inference_DPLD
20886,回复 @我保底又歪了 :已经不想说话了，对线搞得我又熬到四点多，我还要上班。。。,0,0,0.95,Batch_Inference_DPLD
27052,很有意思，发人深省,0,0,0.95,Batch_Inference_DPLD
8039,[doge],0,0,0.95,Batch_Inference_DPLD
35786,一开始觉得不适，现在看见只感觉搞笑好玩了这姑娘[妙啊]每次看到她极具个人特色的动作上热搜我都得被逗乐好久,0,0,0.95,Batch_Inference_DPLD
4480,公司会[微笑],1,0,0.95,Batch_Inference_DPLD
19449,回复 @提瓦特地理 :T0哥的视频确实很有乐子，虽然他不少观点我是不认同的，但人家骂了这么久的原神现在还在坚持玩下去，这还能说啥[doge],0,0,0.95,Batch_Inference_DPLD
47772,我朋友圈里有个大二的小姐姐特别粉jennie🙋‍♀️每条关于她的视频都转发来朋友圈。微信头像也是jennie。。我觉得这个追星热情已经到了有点疯癫的程度。我记住这idol都是她的黑料。。连带着我觉得这妹子三观是否也有些问题,1,0,0.95,Batch_Inference_DPLD
19871,回复 @曦檩 : 你肯定是后入坑的，up主也没有说全，减负优化不是官方自发的，枫丹出之前，原神是出了名的不听劝（后入坑的玩家肯定不知道钟离数值调整事件，闹的很严重官方才愿意下场，平时都是装死），须弥之前就有减负优化的反馈了，只是须弥爆发很多节奏，一起爆发而已，官方不得不做一些妥协来面对玩家,0,0,0.95,Batch_Inference_DPLD
1921,这是视频就是给刚入职场的学生看的，打打鸡血。。真信的话，这辈子有了。,1,0,0.95,Batch_Inference_DPLD
45882,是这样，我去up的抖音号看了一眼其实没什么流量，这种下沉市场推崇的畸形恋爱观语录反而流量更多,0,0,0.95,Batch_Inference_DPLD
38144,回复 @゙蕺 : 好活！[滑稽],0,0,0.95,Batch_Inference_DPLD
22585,回复 @天天天才BT版 :为了社区服务，那你说说他干什么了，做奇观的错误在哪儿呢，加内存哪个游戏不会有，优化烂是鸣潮每个版本都有的问题，但他们会每天一个补丁的优化而不是五年优化不出一个圣遗物一键换装，2.×持续的高购买量，质量高热度高不行么，照你这么说，原神热度高的时候是不是也是买的，还有优化剧本和地图设计，这几天像水无月几个入坑的大up对2.×的剧情哪个不是叫好，别说商单，这种有商单也是最新3.0版本的，只为商单他可以直接播3.0，社区问题我说句不好听的，鸣潮社区为什么节奏多你们自己心里不清楚么二级号大人,1,0,0.95,Batch_Inference_DPLD
5333,回复 @小学三年级的长山小春 :倒也不是，那bot叫脱粉回踩bot，而且稿主是被恶劣的粉圈氛围搞麻了，出来骂几句。不吐不快反而解了大家憋屈的想说的话。这操蛋饭圈谁不想骂呢[妙啊],1,0,0.95,Batch_Inference_DPLD
35572,好恶。。,1,0,0.95,Batch_Inference_DPLD
19547,回复 @你让我怎么荔枝28 :枫丹地面上的地图的确有点普普通通，没啥惊喜，我个人觉得地图探索体验最差的是月之一版本。之前的地图机关附近都能找到解谜道具，要么直接不显示机关要等接了任务才出现。挪德卡莱有些地方你能看见机关，但是在周围转悠半个小时都找不到解谜道具，去米游社查了才知道必须要跟着世界任务才能拿到……没有一点提示，碰到了只能纯浪费时间。,0,0,0.95,Batch_Inference_DPLD
