Expression,Type,Frequency
原神,Slang,10822
游戏杂谈,Slang,10743
笑哭,Bilibili_Emotion,7641
……,Punctuation_Pattern,7109
,,
vol,Slang,5949
知心大姐姐,Slang,5113
sp96,Slang,5112
【吃瓜,Slang,5112
宿敌,Slang,4729
里的抓马,Slang,4728
Dora,Slang,3616
很多人,Slang,3583
vs,Slang,3428
MAD,Slang,3397
】五条,Slang,3395
【静止画,Slang,3394
九喇嘛连结,Slang,3200
这些,Slang,3108
支持维权,Slang,3099
,,
rh,Slang,2966
那么,Slang,2944
doge,Bilibili_Emotion,2938
擦肩而过,Slang,2553
,,
哈哈哈,Slang,1789
吃瓜,Slang,1651
up,Slang,1617
,,
,,
辣眼睛,Bilibili_Emotion,1285
喜极而泣,Bilibili_Emotion,1247
。。。,Punctuation_Pattern,1115
微笑,Bilibili_Emotion,1052
tv,Slang,1035
脱单doge,Bilibili_Emotion,1034
。。,Punctuation_Pattern,888
大哭,Bilibili_Emotion,865
星星眼,Bilibili_Emotion,848
哈哈哈哈,Slang,725
藏狐,Bilibili_Emotion,648
心心,Slang,627
给心心,Bilibili_Emotion,627
b23,Slang,587
Vol,Slang,562
call,Slang,526
打call,Bilibili_Emotion,514
妙啊,Bilibili_Emotion,480
呲牙,Bilibili_Emotion,474
思考,Bilibili_Emotion,455
,,
捂脸,Bilibili_Emotion,411
,,
！！！,Punctuation_Pattern,404
滑稽,Bilibili_Emotion,380
无语,Bilibili_Emotion,379
bili,Slang,374
嗑瓜子,Bilibili_Emotion,358
疑惑,Bilibili_Emotion,340
solo,Slang,335
大笑,Bilibili_Emotion,333
当初,Slang,330
,,
有意思,Slang,323
,,
,,
？？,Punctuation_Pattern,280
？？？,Punctuation_Pattern,261
zyy,Slang,261
bug,Slang,256
,,
,,
脸红,Bilibili_Emotion,245
夹心饼干,Slang,239
,,
,,
,,
,,
,,
偷笑,Bilibili_Emotion,220
汤圆,Bilibili_Emotion,215
灵魂出窍,Bilibili_Emotion,207
idol,Slang,199
五年,Slang,190
。。。。,Punctuation_Pattern,190
五代,Slang,189
上来,Slang,187
ai,Slang,186
！！,Punctuation_Pattern,184
，，,Punctuation_Pattern,181
抠鼻,Bilibili_Emotion,176
委屈,Bilibili_Emotion,147
热词系列,Slang,131
生气,Bilibili_Emotion,127
，，，,Punctuation_Pattern,124
翻白眼,Bilibili_Emotion,122
点赞,Bilibili_Emotion,122
调皮,Bilibili_Emotion,116
尴尬,Bilibili_Emotion,114
鼓掌,Bilibili_Emotion,105
爱心,Bilibili_Emotion,100
惊讶,Bilibili_Emotion,100
捂眼,Bilibili_Emotion,99
保佑,Bilibili_Emotion,98
抱拳,Bilibili_Emotion,92
tv_doge,Bilibili_Emotion,90
怪我咯,Bilibili_Emotion,85
跪了,Bilibili_Emotion,84
。。。。。,Punctuation_Pattern,83
傲娇,Bilibili_Emotion,79
拥抱,Slang,76
保卫萝卜_哭哭,Bilibili_Emotion,75
歪嘴,Bilibili_Emotion,73
嫌弃,Bilibili_Emotion,73
？！,Punctuation_Pattern,69
撇嘴,Bilibili_Emotion,66
惊喜,Slang,63
嘟嘟,Slang,60
再见,Bilibili_Emotion,58
难过,Bilibili_Emotion,55
酸了,Bilibili_Emotion,50
保卫萝卜_哇,Bilibili_Emotion,48
tv_白眼,Bilibili_Emotion,48
哈欠,Slang,46
？？？？,Punctuation_Pattern,46
………,Punctuation_Pattern,44
蹲蹲,Slang,44
tv_笑哭,Bilibili_Emotion,43
阴险,Slang,43
墨镜,Slang,41
。。。。。。,Punctuation_Pattern,38
！！！！,Punctuation_Pattern,36
兔年,Slang,34
奋斗,Slang,34
…………,Punctuation_Pattern,30
嘘声,Bilibili_Emotion,28
响指,Bilibili_Emotion,27
害羞,Bilibili_Emotion,27
胜利,Bilibili_Emotion,25
2233娘_大笑,Bilibili_Emotion,25
热词系列_知识增加,Bilibili_Emotion,23
生病,Slang,22
！！！！！,Punctuation_Pattern,21
保卫萝卜_问号,Bilibili_Emotion,20
~~,Punctuation_Pattern,20
…？,Punctuation_Pattern,19
抓狂,Bilibili_Emotion,19
，，，，,Punctuation_Pattern,19
！？,Punctuation_Pattern,19
保卫萝卜_白眼,Bilibili_Emotion,18
。？,Punctuation_Pattern,17
口罩,Slang,17
tv_大哭,Bilibili_Emotion,17
来古-注意,Slang,16
热词系列_三连,Bilibili_Emotion,16
原神_哇,Slang,16
奸笑,Bilibili_Emotion,16
tv_思考,Bilibili_Emotion,15
画风突变,Slang,15
？？？？？,Punctuation_Pattern,15
？。,Punctuation_Pattern,15
……？,Punctuation_Pattern,15
tv_点赞,Bilibili_Emotion,14
生气_金箍,Slang,14
tv_抠鼻,Bilibili_Emotion,14
!!!,Punctuation_Pattern,14
热词系列_锤,Bilibili_Emotion,13
龙年,Slang,13
tv_坏笑,Bilibili_Emotion,13
？？？？？？,Punctuation_Pattern,13
tv_难过,Bilibili_Emotion,12
tv_皱眉,Bilibili_Emotion,12
???,Punctuation_Pattern,12
