Expression,Type,Frequency,Synonyms,Context_Dependent,Primary_Function,Intensity_Score,Usage_Example,Trigger_Condition,Network_Definition,Asset_Source,Is_Emoji
原神,Slang,10822,游戏；开放世界；抽卡；二次元,0,Neutral,3,原神新版本更新了，有没有一起玩的？,讨论游戏内容或二次元话题时。,米哈游开发的开放世界游戏，也常指代该游戏社区文化。,游戏《原神》,0
游戏杂谈,Slang,10743,游戏评论；游戏分析；游戏心得,0,Neutral,2,刚看完一位UP主的游戏杂谈，分析得很透彻。,-,对游戏内容的非正式讨论或评论，常见于视频标题。,,0
笑哭,Bilibili_Emotion,7641,笑死；笑不活了；笑到流泪,0,Exaggeration,3,这个视频太搞笑了，笑哭,看到搞笑、沙雕内容时。,表示某事非常好笑，以至于流泪，常用于弹幕和评论。,B站通用表情,1
……,Punctuation_Pattern,7109,省略号； 间隔符； 沉默； 犹豫,1,Sarcasm,3,...,常用于表示犹豫、无奈、欲言又止或留白讽刺。,,,0
vol,Slang,5949,内卷；卷；竞争激烈,0,Exaggeration,4,现在考研太vol了，400分都不一定能上岸。,讨论升学、就业、职场等竞争环境时。,‘内卷’的谐音缩写，指过度竞争、无意义的内耗。,,0
知心大姐姐,Slang,5113,暖心姐姐；温柔姐姐；开导者,0,Defense,3,每次心情不好，她都像知心大姐姐一样安慰我。,-,指温柔体贴、善于倾听和开导他人的女性角色或朋友。,,0
sp96,Slang,5112,（待考证的梗）,1,Neutral,2,这个sp96又是什么新梗？,社区内部黑话，外部人员难以理解。,可能源自某个UP主或事件，具体含义不明，通常作为代词使用。,,0
【吃瓜,Slang,5112,吃瓜群众；看戏,0,Neutral,2,【吃瓜】坐等后续发展。,-,表示围观事件，不站队，纯看热闹。,,0
宿敌,Slang,4729,死对头；冤家；老对手,0,Aggression,5,他们两个是宿敌，每次比赛都要争第一。,描述长期竞争关系或调侃死对头时。,指长期敌对、互不相让的对手，常用于调侃或夸张描述竞争关系。,,0
里的抓马,Slang,4728,剧情冲突；狗血情节,0,Exaggeration,3,这个综艺里的抓马太多了，编剧都不敢这么写。,评价综艺、电视剧或现实事件中的狗血情节时。,'抓马'是英文drama的音译，指戏剧性的冲突或狗血剧情。,,0
Dora,Slang,3616,朵拉；小宝贝（特定梗）,1,Defense,3,你真是我的Dora，总帮我解决问题。,-,可能指动画片《爱探险的朵拉》，或作为昵称使用。,,0
vs,Slang,3428,对决；对比,0,Neutral,2,原神 vs 幻塔，哪个更好玩？,-,表示两方对比或对抗，常用于标题。,,0
九喇嘛连结,Slang,3200,九尾模式；强力连线,0,Exaggeration,4,他考试前用了九喇嘛连结，居然全过了！,-,源自《火影忍者》九尾狐九喇嘛与角色的连结，网络用于调侃某人突然开挂或变强。,火影忍者（动漫/游戏）,0
支持维权,Slang,3099,维护权益；顶维权,0,Neutral,3,支持维权，希望得到公正处理。,-,表示对他人维护自身合法权利的行为表示赞同。,,0
rh,Slang,2966,乳化；辱华（敏感词）,0,Aggression,5,某些品牌rh，坚决抵制。,涉及民族或国家尊严问题时。,'辱华'的拼音缩写，常用于指责外国品牌或个人的不当行为。,,0
doge,Bilibili_Emotion,2938,狗头；调侃；反讽,1,Sarcasm,3,他说得对，doge（手动狗头保命）。,发表讽刺或玩笑言论时附加。,B站狗头表情，用于表示前面的话是反讽或开玩笑，避免被当真。,B站通用表情,1
擦肩而过,Slang,2553,错过；失之交臂,0,Neutral,2,我们昨天在街上擦肩而过，都没认出对方。,-,字面意思，无特殊网络用法。,,0
哈哈哈,Slang,1789,哈哈哈哈；笑死,0,Exaggeration,3,哈哈哈，你讲的笑话太逗了。,-,表示开心大笑，常刷屏表达好笑。,,0
吃瓜,Slang,1651,围观；看热闹,0,Neutral,2,我就吃个瓜，不站队。,-,指围观网络热点事件，不发表立场。,,0
up,Slang,1617,上升；提高；UP主（简写）,1,Neutral,2,这个视频质量很高，支持up！,-,可以指‘上升’（动词），也常作为‘UP主’（视频上传者）的简称。,,0
辣眼睛,Bilibili_Emotion,1285,伤眼；不忍直视；视觉污染,0,Exaggeration,5,这个cosplay太辣眼睛了。,-,形容某些画面过于丑陋、怪异或低俗，让人眼睛不适。,,0
喜极而泣,Bilibili_Emotion,1247,感动哭；笑出眼泪,0,Neutral,3,看到他们重逢，我喜极而泣。,-,因极度喜悦而流泪，也常用于夸张表达好笑到流泪。,,0
。。。,Punctuation_Pattern,1115,无语；沉默,1,Sarcasm,3,他居然这样回复，。。。,-,多个句号表示无语、尴尬或不想说话。,,0
微笑,Bilibili_Emotion,1052,呵呵；假笑；讽刺,1,Sarcasm,3,你开心就好，微笑。,对方言论愚蠢或自以为是时。,B站微笑表情常带有讽刺、不屑或“我懂的”意味。,B站通用表情,1
tv,Slang,1035,电视；屏幕；看视频,0,Neutral,2,我要看一会儿tv。,-,电视的英文缩写，也可用于指代B站TV版。,,0
脱单doge,Bilibili_Emotion,1034,脱单；找到对象,0,Neutral,3,今年终于脱单了，脱单doge。,-,表示告别单身，常加上狗头表情表示调侃或自嘲。,B站表情组合,1
。。,Punctuation_Pattern,888,无语；短暂停顿,1,Sarcasm,2,。。你认真的吗？,-,两个句号表示轻度无语或思考停顿。,,0
大哭,Bilibili_Emotion,865,哇哇哭；伤心,0,Neutral,4,看到结局我直接大哭。,-,表达极度伤心或感动，也用于夸张调侃。,,0
星星眼,Bilibili_Emotion,848,羡慕；崇拜,0,Defense,3,好厉害，星星眼！,-,眼睛变成星星状，表示非常羡慕或崇拜。,,0
哈哈哈哈,Slang,725,爆笑；笑疯了,0,Exaggeration,4,哈哈哈哈，我肚子疼。,-,表示非常开心大笑，比‘哈哈哈’强度更高。,,0
藏狐,Bilibili_Emotion,648,旱獭；土拨鼠,0,Neutral,2,藏狐的表情包太魔性了。,-,指动物藏狐，B站因某UP主而流行，常表示呆萌或魔性。,B站UP主‘藏狐’,1
心心,Slang,627,爱心；喜欢,0,Defense,2,给你比个心心。,-,表示喜爱或感谢，常见于情侣或粉丝之间。,,0
给心心,Bilibili_Emotion,627,点赞；比心,0,Defense,2,视频太棒了，给心心！,-,送出爱心，表达支持或喜爱。,,0
b23,Slang,587,B站短链；视频编号,1,Neutral,1,这个b23我打不开。,-,B站视频链接的短域名前缀，也指代某个视频或番号。,,0
call,Slang,526,打电话；呼唤；cue,0,Neutral,2,你这是在call谁呢？,-,英语‘打电话’或‘喊人’，也用于指‘点名批评/提及’。,,0
打call,Bilibili_Emotion,514,应援；支持；加油,0,Exaggeration,3,为偶像打call！,为偶像或喜欢的内容强烈应援时。,指粉丝在演唱会或活动中挥舞荧光棒应援，网络引申为表示强烈支持。,,0
妙啊,Bilibili_Emotion,480,精辟；讽刺；牛逼,1,Sarcasm,3,他说得妙啊，我无言以对。,对方发表看似深刻实则空洞或错误的言论。,表面称赞，实则讽刺对方说法荒谬或逻辑感人。,,0
呲牙,Bilibili_Emotion,474,咧嘴笑；调皮,0,Neutral,2,呲牙，你懂的。,-,表示开心、调皮或掩饰尴尬。,B站通用表情,1
思考,Bilibili_Emotion,455,琢磨；想一下,0,Neutral,2,思考中……,-,表示正在考虑或表示对内容有疑问。,,0
捂脸,Bilibili_Emotion,411,没眼看；尴尬,0,Defense,3,捂脸，我居然做了这种事。,-,表示尴尬、害羞或无奈，常用于自嘲。,B站系统表情,1
！！！,Punctuation_Pattern,404,震惊；超级惊讶,0,Exaggeration,5,！！！这是真的吗？,-,连续感叹号表示极度震惊或强调。,,0
滑稽,Bilibili_Emotion,380,搞笑；滑稽表情,1,Sarcasm,3,滑稽，懂得都懂。,-,贴吧经典滑稽表情移植到B站，表示调侃、猥琐或“看破不说破”。,B站通用表情,1
无语,Bilibili_Emotion,379,无话可说；麻了,1,Sarcasm,3,无语，这操作太骚了。,常出现在反驳或负面情绪语境中,表示无法理解或不想评价，常带有无奈或讽刺。,,0
bili,Slang,374,哔哩哔哩；B站,0,Neutral,2,我每天都要逛bili。,-,B站的缩写，指代平台本身。,,0
嗑瓜子,Bilibili_Emotion,358,吃瓜；看戏,0,Neutral,2,我就嗑瓜子看你们吵。,-,比喻悠闲地围观事态发展，不参与。,,0
疑惑,Bilibili_Emotion,340,迷惑；不懂,0,Neutral,2,疑惑，这是咋回事？,-,表示不理解，请求解释或表达困惑。,,0
solo,Slang,335,单挑；个人秀,0,Neutral,2,他solo了整首歌，太强了。,-,指独自完成某事，游戏中常指1v1。,,0
大笑,Bilibili_Emotion,333,狂笑；哈哈哈哈哈,0,Exaggeration,4,看到结局我直接大笑。,-,强烈的笑，比‘大笑’更夸张。,,0
当初,Slang,330,以前；曾经,0,Neutral,2,当初我就不该信他。,-,普通时间词，无特殊含义。,,0
有意思,Slang,323,有趣；讽刺,1,Sarcasm,3,有意思，这么明显的错误都没发现。,-,表面说有意思，实则表达不屑或反讽。,,0
？？,Punctuation_Pattern,280,问号；迷惑,1,Sarcasm,3,？？你认真的？,对方的话让你觉得好笑但不想直接表达,两个问号表示轻度迷惑或质疑。,,0
？？？,Punctuation_Pattern,261,满头问号；极度迷惑,1,Sarcasm,4,？？？这是什么操作？,常用于反问、反驳或表达不屑时,三个及以上问号表示非常不理解或讽刺对方行为荒谬。,,0
zyy,Slang,261,张元英；注意呀（待定）,1,Neutral,2,zyy今天又上热搜了。,-,通常指韩国女团IVE成员张元英（粉丝常用缩写）。也可能为‘注意呀’的拼音首字母，较少见。,,0
bug,Slang,256,漏洞；错误,0,Neutral,2,游戏又出bug了，赶紧修。,-,程序错误，也引申为生活中的小毛病。,,0
脸红,Bilibili_Emotion,245,害羞；不好意思,0,Neutral,2,被夸得脸红了。,-,表达害羞或尴尬，也常用于卖萌。,,0
夹心饼干,Slang,239,两头受气；中间人,0,Defense,3,我夹在领导和客户中间，成了夹心饼干。,-,比喻处于两难境地，两边都不讨好。,,0
偷笑,Bilibili_Emotion,220,窃笑；暗爽,0,Neutral,2,看到他被骂，我偷偷笑了一下。,-,表示幸灾乐祸或暗自开心。,,0
汤圆,Bilibili_Emotion,215,元宵；糯米团,0,Neutral,2,冬至吃汤圆。,-,食物，无特殊网络含义。,,0
灵魂出窍,Bilibili_Emotion,207,震惊到失神；懵逼,0,Exaggeration,5,看到成绩，我灵魂出窍了。,-,形容极度震惊、疲惫或无语的状态。,,0
idol,Slang,199,偶像；爱豆,0,Neutral,2,我的idol出新歌了。,-,偶像，常指日韩流行明星。,,0
五年,Slang,190,五年时间,0,Neutral,2,五年后我毕业了。,-,普通数量词，无特殊含义。,,0
。。。。,Punctuation_Pattern,190,超级无语,1,Sarcasm,4,。。。。他赢了。,-,四个句号表示极度无语或不想说话。,,0
五代,Slang,189,五代时期；第五代,0,Neutral,2,五代十国历史很乱。,-,历史或技术代际，无特殊网络义。,,0
ai,Slang,186,人工智能；爱（谐音）,0,Neutral,2,ai 我爱你。,-,人工智能缩写，网络中也用作‘爱’的拼音。,,0
！！,Punctuation_Pattern,184,惊讶；强调,0,Exaggeration,3,！！真的假的？,-,两个感叹号表示惊讶或强调。,,0
，，,Punctuation_Pattern,181,停顿；思考,1,Neutral,2,，，让我想想。,-,两个逗号表示短暂停顿或犹豫。,,0
抠鼻,Bilibili_Emotion,176,挖鼻；不屑,1,Sarcasm,3,抠鼻，你继续吹。,-,表示无所谓、不屑或轻微嘲讽。,B站通用表情,1
委屈,Bilibili_Emotion,147,委屈巴巴；难受,0,Defense,3,明明不是我的错，好委屈。,-,表达自己受到不公正对待的难过情绪。,,0
热词系列,Slang,131,流行语合辑,0,Neutral,2,这个热词系列总结了今年的梗。,-,B站UP主整理的流行语集合，常作为视频标题。,B站热词系列表情,1
生气,Bilibili_Emotion,127,愤怒；不爽,0,Aggression,4,看到这操作我直接生气。,-,表达愤怒情绪。,,0
，，，,Punctuation_Pattern,124,无语；沉默,1,Sarcasm,3,，，，你厉害。,-,三个逗号表示无语或轻蔑。,,0
翻白眼,Bilibili_Emotion,122,无语；鄙视,1,Sarcasm,3,翻白眼，你说的都对。,常用于反问、反驳或表达不屑时,表示不屑、无奈或对对方言论的不满。,B站系统表情,1
点赞,Bilibili_Emotion,122,支持；好评,0,Defense,2,给你点赞！,-,表示赞同或欣赏。,,0
调皮,Bilibili_Emotion,116,捣蛋；皮一下,0,Neutral,2,你好调皮啊。,-,形容人爱开玩笑或捉弄人。,B站系统表情,1
尴尬,Bilibili_Emotion,114,社死；抠脚,0,Neutral,3,空气突然安静，好尴尬。,-,表达窘迫或难为情。,B站系统表情,1
鼓掌,Bilibili_Emotion,105,喝彩；支持,0,Defense,2,讲得好，鼓掌！,-,表示赞赏或鼓励。,B站系统表情,1
爱心,Bilibili_Emotion,100,喜欢；关爱,0,Defense,2,送个爱心给你。,-,表达喜爱或感谢。,,0
惊讶,Bilibili_Emotion,100,震惊；吃鲸,0,Neutral,3,惊讶，他居然会唱歌。,-,表示意外之情。,B站系统表情,1
捂眼,Bilibili_Emotion,99,没眼看；不敢看,0,Exaggeration,3,太辣眼睛了，捂眼。,-,表示内容过于刺激或尴尬，不敢直视。,,0
保佑,Bilibili_Emotion,98,祈祷；求好运,0,Neutral,2,保佑考试通过。,-,表示祈求好运或平安。,,0
抱拳,Bilibili_Emotion,92,感谢；敬礼,0,Defense,2,多谢各位，抱拳了。,-,表达谢意或敬意，常见于江湖气语境。,,0
tv_doge,Bilibili_Emotion,90,电视狗头；嘲讽,1,Sarcasm,3,你说是就是吧，tv_doge。,常用于反问、反驳或表达不屑时,B站TV版狗头表情，用于反讽或开玩笑。,B站TV版表情包,1
怪我咯,Bilibili_Emotion,85,我的错？；甩锅,1,Defense,3,这也能怪我咯？,-,表示无奈或反讽，用于回应无端的指责。,,0
跪了,Bilibili_Emotion,84,服了；认输,0,Exaggeration,3,这操作我直接跪了。,-,表示佩服得五体投地，或无奈投降。,,0
。。。。。,Punctuation_Pattern,83,极度无语,1,Sarcasm,4,。。。。。你赢了。,-,五个句号表示无语至极。,,0
傲娇,Bilibili_Emotion,79,口嫌体正直；撒娇,0,Defense,3,她嘴上说不要，身体很诚实，傲娇。,-,指外表冷淡、内心热情的性格，常用于动漫角色。,,0
拥抱,Slang,76,抱抱；安慰,0,Defense,2,给你一个拥抱。,-,表达关怀或安慰。,,0
保卫萝卜_哭哭,Bilibili_Emotion,75,游戏失败；委屈,0,Defense,2,又没过关，保卫萝卜_哭哭,-,游戏《保卫萝卜》中的哭泣表情，用于表达小挫折或求安慰。,保卫萝卜（游戏）,1
歪嘴,Bilibili_Emotion,73,邪魅一笑；不屑,1,Sarcasm,3,歪嘴，你这个想法太天真。,-,表示轻蔑、自信或嘲讽。,,0
嫌弃,Bilibili_Emotion,73,鄙视；看不上,0,Aggression,4,真嫌弃这个设计。,-,表达厌恶或鄙视。,,0
？！,Punctuation_Pattern,69,震惊+疑惑,1,Exaggeration,5,？！你再说一遍？,-,混合感叹号和问号，表示极度震惊且难以置信。,,0
撇嘴,Bilibili_Emotion,66,不屑；不服,1,Sarcasm,2,撇嘴，你说得对。,常用于反问、反驳或表达不屑时,表示不以为然或轻微不屑。,B站系统表情,1
嘟嘟,Slang,60,嘟嘴；卖萌,0,Neutral,2,嘟嘟，不开心。,-,拟声词，也作卖萌表情。,,0
再见,Bilibili_Emotion,58,拜拜；告辞,0,Neutral,2,再见，不送了。,-,告别用语。,,0
难过,Bilibili_Emotion,55,伤心；抑郁,0,Neutral,3,今天好难过。,-,表达悲伤情绪。,,0
酸了,Bilibili_Emotion,50,羡慕嫉妒,0,Neutral,2,看到别人晒旅游，我酸了。,-,表示羡慕到发酸，略带自嘲。,,0
保卫萝卜_哇,Bilibili_Emotion,48,惊喜；厉害,0,Neutral,2,居然过关了，保卫萝卜_哇,-,游戏《保卫萝卜》中的惊叹表情，表示惊讶或惊喜。,保卫萝卜（游戏）,1
tv_白眼,Bilibili_Emotion,48,无视；鄙视,1,Sarcasm,3,tv_白眼，你说得都对。,-,B站TV版翻白眼表情，表示不屑或无语。,B站TV版表情包,1
哈欠,Slang,46,困；无聊,0,Neutral,2,打哈欠，这个视频好无聊。,-,表示困倦或不感兴趣。,,0
？？？？,Punctuation_Pattern,46,极度迷惑,1,Sarcasm,4,？？？？我理解不了。,常用于反问、反驳或表达不屑时,四个问号表示非常困惑或讽刺对方行为。,,0
